school,health,absences,freetime,studytime,previous_fails,school_support,paid_support,semester_1_grade,semester_2_grade,final_grade
GP,3,6,3,2,0,yes,no,5,6,6
GP,3,4,3,2,0,no,no,5,5,6
GP,3,10,3,2,3,yes,yes,7,8,10
GP,5,2,2,3,0,no,yes,15,14,15
GP,5,4,3,2,0,no,yes,6,10,10
GP,5,10,4,2,0,no,yes,15,15,15
GP,3,0,4,2,0,no,no,12,12,11
GP,1,6,1,2,0,yes,no,6,5,6
GP,1,0,2,2,0,no,yes,16,18,19
GP,5,0,5,2,0,no,yes,14,15,15
GP,2,0,3,2,0,no,yes,10,8,9
GP,4,4,2,3,0,no,no,10,12,12
GP,5,2,3,1,0,no,yes,14,14,14
GP,3,2,4,2,0,no,yes,10,10,11
GP,3,0,5,3,0,no,no,14,16,16
GP,2,4,4,1,0,no,no,14,14,14
GP,2,6,2,3,0,no,yes,13,14,14
GP,4,4,3,2,0,yes,no,8,10,10
GP,5,16,5,1,3,no,no,6,5,5
GP,5,4,1,1,0,no,yes,8,10,10
GP,1,0,4,2,0,no,no,13,14,15
GP,5,0,4,1,0,no,yes,12,15,15
GP,5,2,5,2,0,no,no,15,15,16
GP,5,0,4,2,0,no,no,13,13,12
GP,5,2,3,3,0,yes,yes,10,9,8
GP,5,14,2,1,2,no,yes,6,9,8
GP,5,2,2,1,0,no,yes,12,12,11
GP,1,4,2,1,0,no,yes,15,16,15
GP,5,4,3,2,0,yes,no,11,11,11
GP,5,16,4,2,0,no,yes,10,12,11
GP,5,0,4,2,0,no,yes,9,11,12
GP,5,0,3,2,0,no,no,17,16,17
GP,5,0,5,2,0,no,no,17,16,16
GP,2,0,3,2,0,no,no,8,10,12
GP,5,0,4,1,0,no,yes,12,14,15
GP,5,0,5,1,0,no,no,8,7,6
GP,4,2,4,3,0,no,no,15,16,18
GP,5,7,4,3,0,no,no,15,16,15
GP,5,2,3,3,0,yes,yes,12,12,11
GP,2,8,3,1,0,yes,yes,14,13,13
GP,3,25,3,2,1,no,no,7,10,11
GP,5,8,4,1,0,no,no,12,12,12
GP,5,2,3,2,0,no,no,19,18,18
GP,1,0,4,1,0,yes,no,8,8,11
GP,5,14,3,2,1,yes,no,10,10,9
GP,5,8,2,2,0,yes,yes,8,8,6
GP,3,12,3,2,0,no,no,11,12,11
GP,2,4,2,4,0,no,no,19,19,20
GP,5,2,3,2,0,no,yes,15,15,14
GP,3,2,4,2,1,yes,no,7,7,7
GP,4,2,3,2,0,no,yes,12,13,13
GP,5,2,3,2,0,no,yes,11,13,13
GP,5,6,5,1,1,no,no,11,11,10
GP,5,0,3,1,0,yes,yes,8,10,11
GP,1,6,3,1,0,no,yes,10,13,13
GP,2,8,3,2,0,no,yes,8,9,10
GP,1,0,3,2,0,no,yes,14,15,15
GP,5,4,2,2,0,no,no,14,15,15
GP,5,2,3,2,0,yes,no,9,10,9
GP,5,2,2,2,0,no,no,15,16,16
GP,4,6,4,2,0,no,no,10,11,11
GP,5,6,5,1,0,yes,no,10,8,11
GP,1,4,4,2,0,yes,no,8,10,9
GP,4,2,4,3,0,yes,yes,10,9,9
GP,2,0,4,2,0,yes,no,10,10,10
GP,1,2,4,2,0,no,no,16,15,15
GP,3,4,3,4,0,no,no,13,13,12
GP,5,4,3,4,0,yes,yes,7,7,6
GP,4,2,1,2,0,yes,yes,8,9,8
GP,3,12,4,4,0,no,no,16,16,16
GP,5,0,3,4,0,no,yes,13,15,15
GP,3,0,3,4,0,no,no,10,10,10
GP,5,2,3,2,2,yes,no,8,6,5
GP,5,2,3,1,0,no,no,12,12,14
GP,5,54,3,2,0,yes,yes,11,12,11
GP,5,6,3,2,0,no,yes,9,9,10
GP,1,8,4,4,0,no,no,11,11,10
GP,3,0,2,4,0,no,yes,11,11,11
GP,3,2,5,1,3,yes,no,8,8,10
GP,3,12,4,2,0,no,no,5,5,5
GP,3,2,2,1,0,yes,yes,10,12,12
GP,5,4,3,3,0,yes,yes,11,10,11
GP,5,10,4,2,0,no,yes,7,6,6
GP,4,4,3,2,0,no,yes,15,15,15
GP,4,2,3,2,0,no,no,9,10,10
GP,5,6,4,2,2,no,yes,7,9,8
GP,2,4,3,2,0,no,no,8,7,6
GP,1,4,3,3,0,no,no,13,14,14
GP,3,12,4,2,1,no,yes,11,10,10
GP,5,18,1,2,0,no,no,8,6,7
GP,4,0,3,3,0,no,yes,7,7,8
GP,1,4,5,1,0,no,yes,16,17,18
GP,2,4,3,2,0,yes,no,7,6,6
GP,1,0,3,2,0,no,yes,11,10,10
GP,4,6,3,4,0,no,no,11,13,14
GP,1,2,1,4,1,yes,yes,7,10,10
GP,4,2,3,1,0,yes,no,11,15,15
GP,5,2,3,2,0,no,yes,8,9,10
GP,1,6,3,1,0,no,no,11,14,14
GP,3,0,3,3,0,yes,yes,7,9,8
GP,4,14,5,1,0,yes,yes,7,7,5
GP,4,0,4,3,0,no,no,16,17,17
GP,5,4,3,1,0,no,no,10,13,14
GP,2,26,3,2,0,yes,yes,7,6,6
GP,1,0,4,2,0,no,yes,16,18,18
GP,4,10,3,4,0,yes,no,10,11,11
GP,3,8,1,4,0,yes,yes,7,8,8
GP,5,2,3,3,0,no,no,16,18,18
GP,1,6,3,4,0,no,yes,10,13,13
GP,4,4,4,3,0,no,yes,14,15,16
GP,4,6,5,1,0,no,no,18,19,19
GP,2,0,1,3,1,yes,no,7,10,10
GP,5,6,1,2,1,yes,no,10,13,13
GP,3,10,5,1,0,no,no,18,19,19
GP,5,8,4,2,0,no,no,9,9,9
GP,5,2,4,2,0,no,no,15,15,16
GP,2,2,4,2,0,no,no,11,13,14
GP,5,0,4,1,0,no,no,13,14,13
GP,5,20,2,2,1,no,no,9,7,8
GP,4,6,4,1,0,no,no,14,13,13
GP,1,2,2,2,0,no,no,16,15,15
GP,5,6,5,4,0,no,yes,16,14,15
GP,5,2,2,2,0,no,yes,13,13,13
GP,5,18,4,1,0,no,no,14,11,13
GP,5,0,4,2,0,no,yes,8,7,8
GP,5,0,5,1,0,yes,no,13,13,12
GP,1,0,3,2,0,yes,no,7,10,11
GP,5,2,4,2,3,no,no,7,8,9
GP,4,0,3,1,2,no,no,7,4,0
GP,4,8,5,1,0,no,yes,18,18,18
GP,5,0,2,3,2,no,no,12,0,0
GP,4,0,3,1,0,no,no,8,0,0
GP,5,12,4,1,0,no,no,10,13,12
GP,5,16,2,1,0,no,no,12,11,11
GP,5,0,3,2,0,no,no,9,0,0
GP,5,0,3,3,0,no,no,11,0,0
GP,5,0,4,2,0,no,no,10,0,0
GP,5,0,3,1,2,no,no,4,0,0
GP,5,0,4,2,1,no,no,14,12,12
GP,5,0,3,1,0,no,no,16,16,15
GP,3,0,2,4,0,yes,no,7,9,0
GP,2,8,3,1,2,no,no,9,9,9
GP,5,2,2,3,0,no,yes,9,11,11
GP,1,2,4,1,0,no,no,14,14,13
GP,5,0,4,1,3,no,no,5,0,0
GP,5,0,4,2,0,no,yes,8,11,11
GP,3,0,3,2,3,no,no,6,7,0
GP,5,2,3,2,0,no,yes,10,11,11
GP,5,0,3,1,0,no,no,7,6,0
GP,5,0,5,1,3,no,no,8,9,10
GP,4,0,3,1,3,no,no,6,5,0
GP,5,6,4,1,1,no,no,12,13,14
GP,3,8,2,3,2,no,yes,10,10,10
GP,4,0,5,1,3,no,no,5,0,0
GP,4,0,2,1,0,yes,no,11,11,12
GP,1,2,4,2,0,yes,yes,11,8,8
GP,5,8,2,1,0,no,no,16,12,13
GP,4,6,2,1,3,no,no,9,8,10
GP,3,2,2,1,0,no,no,17,15,15
GP,5,4,5,2,1,no,yes,10,12,12
GP,5,0,3,1,2,no,no,7,6,0
GP,3,6,4,2,2,yes,no,5,9,7
GP,5,0,4,1,1,no,no,7,0,0
GP,2,2,3,1,0,no,no,10,10,10
GP,5,0,3,2,3,no,no,5,8,7
GP,2,16,5,1,1,no,no,12,11,12
GP,4,4,3,2,0,no,no,10,10,10
GP,3,0,2,2,0,no,yes,14,15,16
GP,4,0,1,2,0,no,yes,6,7,0
GP,3,0,4,2,0,no,yes,14,14,14
GP,2,0,4,1,2,no,no,6,5,0
GP,3,2,3,2,0,no,yes,13,15,16
GP,5,0,4,2,0,no,yes,13,11,10
GP,3,0,3,2,3,no,no,8,7,0
GP,4,4,4,2,0,no,yes,10,11,9
GP,4,4,4,2,0,no,yes,10,9,9
GP,5,2,4,2,0,no,yes,13,13,11
GP,4,4,3,2,0,no,no,6,5,6
GP,3,10,3,1,0,no,no,10,8,9
GP,2,4,2,2,0,no,no,10,10,11
GP,3,10,4,2,0,no,yes,9,8,8
GP,3,2,2,2,0,no,yes,12,13,12
GP,5,0,4,2,0,no,no,16,17,17
GP,1,56,3,2,0,no,no,9,9,8
GP,1,14,2,2,0,no,yes,12,13,12
GP,4,12,3,2,0,no,no,12,12,11
GP,3,2,3,1,0,no,yes,11,12,11
GP,5,0,2,2,0,no,yes,15,15,15
GP,3,6,3,2,0,no,no,8,7,9
GP,3,4,1,2,0,no,no,8,9,10
GP,2,10,3,2,0,no,no,11,12,13
GP,3,0,3,2,0,no,no,8,8,9
GP,5,12,4,2,0,no,yes,7,8,8
GP,5,8,3,1,0,no,no,8,9,10
GP,3,0,3,1,0,no,no,13,14,14
GP,5,0,3,2,0,no,no,14,15,15
GP,5,4,2,1,0,no,no,17,15,16
GP,3,8,3,1,0,no,yes,9,9,10
GP,2,24,2,1,1,no,no,18,18,18
GP,3,0,5,2,0,no,yes,9,9,10
GP,2,2,3,2,0,no,no,16,16,16
GP,4,6,4,2,0,yes,yes,8,10,10
GP,1,4,4,2,0,no,yes,9,9,10
GP,3,18,3,1,0,no,no,7,6,6
GP,5,6,3,4,0,no,yes,10,10,11
GP,5,28,4,3,1,no,yes,10,9,9
GP,4,5,3,2,3,no,yes,7,7,7
GP,1,10,3,2,0,no,yes,11,12,13
GP,5,6,3,1,0,no,yes,9,9,10
GP,4,6,4,3,0,no,yes,7,7,7
GP,3,10,3,4,0,no,yes,8,8,8
GP,3,13,3,2,0,no,yes,12,12,13
GP,4,0,3,2,0,yes,yes,12,13,14
GP,5,15,4,2,1,no,yes,6,7,8
GP,3,12,2,1,0,no,yes,8,10,10
GP,1,2,4,2,0,no,yes,14,15,15
GP,1,22,4,2,2,no,yes,6,6,4
GP,4,13,2,2,1,no,yes,6,6,8
GP,3,3,3,1,0,no,yes,7,7,8
GP,4,4,3,3,0,no,yes,9,10,10
GP,5,2,2,2,0,no,no,6,6,6
GP,5,0,3,3,1,no,no,6,5,0
GP,3,2,3,2,0,yes,no,16,16,17
GP,4,0,3,2,0,no,yes,12,13,13
GP,5,0,3,3,0,no,no,13,13,14
GP,4,16,3,2,1,no,no,9,8,7
GP,3,10,3,2,0,no,no,16,15,15
GP,3,2,3,2,0,no,yes,12,11,12
GP,3,14,3,2,0,yes,yes,10,8,9
GP,3,10,2,3,0,no,no,12,10,12
GP,3,14,2,2,0,no,no,13,13,14
GP,1,4,5,2,0,no,yes,11,11,11
GP,2,14,5,2,0,yes,no,11,9,9
GP,1,2,2,2,0,no,yes,14,13,13
GP,5,18,4,2,0,no,yes,9,7,6
GP,2,10,3,3,0,no,no,11,9,10
GP,4,4,4,2,0,no,yes,14,13,13
GP,5,20,5,1,0,no,no,13,12,12
GP,3,2,1,2,0,no,no,13,11,11
GP,2,0,5,2,1,no,no,7,7,0
GP,5,14,5,2,0,no,no,12,12,12
GP,4,2,3,2,0,no,yes,10,11,12
GP,3,0,4,1,0,no,no,6,0,0
GP,5,0,3,1,0,no,no,13,12,12
GP,3,0,4,3,0,no,yes,7,0,0
GP,4,6,3,1,0,no,no,18,18,18
GP,2,4,2,1,0,no,no,12,12,13
GP,1,16,4,1,3,no,no,6,8,8
GP,5,8,3,2,1,no,no,3,5,5
GP,5,0,3,1,0,no,yes,13,15,15
GP,5,0,4,1,1,no,no,6,8,8
GP,2,6,3,2,0,yes,no,7,10,10
GP,5,4,2,1,1,no,no,6,9,8
GP,3,0,3,1,0,no,no,8,9,8
GP,5,0,4,1,0,no,no,8,12,12
GP,5,2,4,1,1,no,no,7,9,8
GP,4,6,2,4,0,no,yes,14,12,13
GP,1,12,3,2,0,no,no,11,11,11
GP,4,8,2,2,0,no,no,15,14,14
GP,2,0,4,4,0,no,yes,10,9,0
GP,2,21,1,2,0,no,yes,17,18,18
GP,3,2,3,2,0,no,yes,8,8,8
GP,3,1,3,3,0,no,no,13,12,12
GP,4,4,2,3,0,no,no,10,9,9
GP,3,0,3,3,0,no,yes,9,10,0
GP,1,13,2,2,0,no,yes,17,17,17
GP,5,2,4,2,0,no,yes,9,9,10
GP,4,8,3,2,0,no,yes,12,10,11
GP,5,10,4,2,0,no,yes,10,9,10
GP,3,0,3,2,0,no,no,6,0,0
GP,5,15,3,2,2,no,yes,9,9,9
GP,2,4,5,4,0,no,yes,15,14,14
GP,3,2,4,2,0,no,yes,11,11,11
GP,1,2,5,2,0,no,yes,15,14,14
GP,1,2,3,2,0,no,yes,10,10,10
GP,5,6,4,2,0,yes,yes,12,12,12
GP,5,75,1,2,0,no,no,10,9,9
GP,3,22,2,1,0,no,yes,9,9,9
GP,4,15,4,2,1,yes,no,9,8,8
GP,1,8,2,1,0,no,yes,10,11,10
GP,5,30,5,1,0,no,yes,8,8,8
GP,3,19,4,1,1,no,no,11,9,10
GP,3,1,2,4,0,no,yes,12,12,12
GP,4,4,4,2,0,yes,no,8,9,10
GP,5,4,4,2,0,no,no,10,9,11
GP,4,2,3,2,0,no,yes,12,10,11
GP,2,5,3,3,0,no,yes,18,18,19
GP,3,6,3,3,0,no,yes,13,12,12
GP,2,6,2,3,0,no,yes,15,14,14
GP,2,9,4,2,0,no,yes,15,13,15
GP,5,11,3,2,0,no,yes,12,11,11
GP,3,0,2,3,0,no,yes,15,15,15
GP,5,12,4,2,1,no,no,12,12,13
GP,3,6,1,4,0,no,yes,18,18,18
GP,4,8,4,3,0,no,yes,14,13,14
GP,5,4,4,1,0,no,yes,14,12,11
GP,2,0,3,2,0,no,yes,10,9,0
GP,2,10,4,2,0,no,yes,10,8,8
GP,3,0,3,4,0,no,yes,14,13,14
GP,1,5,4,1,0,no,yes,16,15,16
GP,4,14,2,2,0,no,no,12,10,11
GP,5,0,1,1,0,no,yes,11,11,10
GP,3,0,3,3,0,no,yes,15,12,14
GP,5,0,2,4,0,no,yes,17,17,18
GP,3,20,4,2,1,no,no,15,14,13
GP,3,8,4,2,1,no,yes,14,12,12
GP,5,0,5,1,0,no,no,17,18,18
GP,4,38,3,1,1,no,yes,8,9,8
GP,5,0,5,2,1,no,no,15,12,12
GP,3,18,4,2,1,yes,no,12,10,10
GP,3,0,2,2,1,no,no,9,9,0
GP,2,20,4,2,0,no,no,14,12,13
GP,4,3,5,2,1,no,no,13,11,11
GP,1,22,2,2,1,no,yes,13,10,11
GP,3,14,1,3,2,no,no,15,13,13
GP,3,40,1,3,1,no,no,13,11,11
GP,1,0,3,2,0,no,yes,8,8,0
GP,5,9,3,3,0,no,yes,9,10,9
GP,5,0,3,3,0,no,yes,11,11,10
GP,5,2,4,2,0,no,yes,11,11,11
GP,5,23,2,2,0,no,yes,13,13,13
GP,3,12,2,2,0,no,no,11,9,9
GP,3,3,3,3,0,no,yes,11,11,11
GP,5,1,4,3,0,no,no,12,14,15
GP,2,0,3,3,0,no,no,16,15,15
GP,3,3,3,3,0,no,no,9,12,11
GP,5,3,3,1,0,no,no,14,15,16
GP,4,8,4,1,0,no,no,11,10,10
GP,4,7,4,3,0,no,yes,10,9,9
GP,4,4,3,3,0,no,yes,14,14,14
GP,5,2,5,4,0,no,no,9,8,8
GP,5,7,4,3,0,no,no,12,14,14
GP,4,0,3,2,0,no,no,7,0,0
GP,2,0,3,2,0,no,no,8,8,0
GP,4,0,4,4,0,no,no,10,9,0
GP,5,16,4,3,0,no,no,16,15,15
GP,5,12,4,3,1,no,yes,14,13,13
GP,2,0,3,2,0,no,yes,7,8,0
GP,1,7,3,4,0,no,no,16,15,17
GP,2,4,3,2,0,no,yes,9,10,10
GP,3,4,3,3,1,no,yes,11,12,11
GP,2,0,3,2,1,no,no,10,10,0
GP,5,11,3,2,0,no,no,16,15,15
GP,4,0,3,2,1,no,no,9,8,0
GP,3,4,3,3,0,no,no,11,10,10
GP,1,7,4,3,0,no,no,13,13,14
GP,4,9,3,3,0,no,no,16,15,16
GP,5,0,4,3,0,no,yes,10,10,9
GP,4,0,4,3,0,no,yes,13,15,15
MS,5,10,5,1,1,no,no,11,13,13
MS,2,8,4,2,3,no,no,8,7,8
MS,3,2,5,2,0,no,yes,13,13,13
MS,3,7,3,1,1,no,no,8,7,8
MS,5,4,4,1,1,no,no,8,8,8
MS,2,4,5,2,0,no,yes,13,11,11
MS,5,0,3,2,0,no,no,10,9,9
MS,5,4,3,2,0,no,yes,12,13,13
MS,5,2,2,2,0,no,no,12,12,11
MS,3,4,3,1,0,no,no,10,10,10
MS,4,0,3,3,0,no,no,18,16,16
MS,5,0,3,2,0,no,no,13,13,13
MS,5,2,4,2,1,no,no,13,12,12
MS,3,0,3,2,0,no,no,11,11,10
MS,1,0,3,2,0,no,yes,16,15,15
MS,3,0,2,2,0,no,no,12,11,12
MS,3,4,3,2,0,no,yes,10,10,10
MS,5,0,2,3,0,no,yes,13,13,13
MS,1,0,2,1,1,no,yes,7,6,0
MS,4,0,2,1,0,no,yes,11,10,10
MS,5,10,2,2,0,no,yes,14,12,11
MS,3,4,2,2,2,no,no,7,7,9
MS,3,3,3,1,0,no,yes,14,12,12
MS,3,8,4,3,0,no,no,13,11,11
MS,1,14,5,1,0,no,no,6,5,5
MS,1,0,4,3,0,no,no,19,18,19
MS,4,2,3,3,0,no,no,8,8,10
MS,3,4,4,3,2,no,yes,15,14,15
MS,2,4,4,2,0,no,yes,8,9,10
MS,1,0,1,2,0,no,yes,15,15,15
MS,1,17,5,2,0,no,yes,10,10,10
MS,2,4,2,2,0,no,yes,15,14,14
MS,5,5,4,1,0,no,no,7,6,7
MS,3,2,4,2,0,no,no,11,11,10
MS,5,0,3,1,1,no,no,6,5,0
MS,3,14,4,1,1,no,yes,6,5,5
MS,4,2,3,3,0,no,yes,10,9,10
MS,5,7,4,1,0,no,yes,6,5,6
MS,5,0,4,3,1,no,no,7,5,0
MS,1,0,3,2,0,no,yes,7,9,8
MS,5,0,1,2,1,no,no,6,5,0
MS,4,11,5,2,2,no,yes,9,9,9
MS,2,3,4,1,0,no,no,14,16,16
MS,3,3,5,1,3,no,no,10,8,7
MS,5,0,4,1,0,no,no,11,12,10
MS,5,5,2,1,0,no,no,8,9,9